GBPEUR,CL,DAX,CAC40,BTC,GC
1.1024,45.599998,13278.49023,5560.669922,13708.19238,1870.800049
1.1033,45.52,13340.25977,5546.819824,13881.83496,1834.599976
1.10638,46.779999,13295.73047,5549.649902,13730.2334,1833.599976
1.0955,46.57,13114.29981,5507.549805,13653.05469,1839.800049
1.09749,46.990002,13223.16016,5527.839844,14443.31738,1828.699951
1.09708,47.619999,13362.87012,5530.310059,14439.70313,1852.300049
1.10608,47.82,13565.98047,5547.680176,15783.43848,1856.099976
1.10695,48.360001,13667.25,5549.459961,16806.90234,1887.199951
1.10649,49.099998,13630.50977,5527.839844,17111.98047,1885.699951
1.09699,47.740002,13246.29981,5393.339844,16957.35156,1879.199951
1.09917,47.02,13418.11035,5466.859863,17746.1582,1866.599976
1.0993,48.119999,13587.23047,5527.589844,17199.66406,1874.699951
1.11185,47.619999,13790.29004,5588.379883,20115.50781,1877.199951
1.1017,48,13761.37988,5611.790039,20271.95313,1879.699951
1.1015,48.400002,13718.78027,5599.410156,21161.93359,1891
1.1169,47.619999,13726.74023,5588.959961,23558.98438,1944.699951
1.1074,49.93,13651.21973,5564.600098,24943.91602,1952.699951
1.10792,50.630001,13891.96973,5630.600098,27028.86328,1906.900024
1.10405,50.830002,13968.24023,5669.850098,29015.11914,1912.300049
